city,lat,lng,population
New York,40.76149276,-73.98143112,8175133
Los Angeles,34.0522342,-118.2436849,3792621
Chicago,41.850033,-87.6500523,2695598
Houston,29.7632836,-95.3632715,2099451
Philadelphia,39.952335,-75.163789,1526006
Phoenix,33.4483771,-112.0740373,1445632
San Antonio,29.4241219,-98.4936282,1327407
San Diego,32.7153292,-117.1572551,1307402
Dallas,32.7830556,-96.8066667,1197816
San Jose,37.3393857,-121.8949555,945942
Jacksonville,30.3321838,-81.655651,821784
Indianapolis,39.7683765,-86.1580423,820445
San Francisco,37.7749295,-122.4194155,805235
Austin,30.267153,-97.7430608,790390
Columbus,39.9611755,-82.9987942,787033
Fort Worth,32.725409,-97.3208496,741206
Charlotte,35.2270869,-80.8431268,731424
Detroit,42.331427,-83.0457538,713777
El Paso,31.7587198,-106.4869314,649121
Memphis,35.1495343,-90.0489801,646889
Baltimore,39.2903848,-76.6121893,620961
Boston,42.3584308,-71.0597732,617594
Seattle,47.6062095,-122.3320708,608660
Washington,38.8951118,-77.0363658,601723
Nashville,36.1658899,-86.7844432,601222
Denver,39.7391536,-104.9847034,600158
Louisville,38.2542376,-85.759407,597337
Milwaukee,43.0389025,-87.9064736,594833
Portland,45.5234515,-122.6762071,583776
Las Vegas,36.1749705,-115.137223,583756
Oklahoma City,35.4715076,-97.54021069,579999
Albuquerque,35.0844909,-106.6511367,545852
Tucson,32.2217429,-110.926479,520116
Fresno,36.7477272,-119.7723661,494665
Staten Island,40.58328072,-74.14981238,470728
Sacramento,38.5815719,-121.4943996,466488
Long Beach,33.7669623,-118.1892348,462257
Kansas City,39.0997266,-94.5785667,459787
Mesa,33.4222685,-111.8226402,439041
Virginia Beach,36.8529263,-75.977985,437994
Atlanta,33.7489954,-84.3879824,420003
Colorado Springs,38.8338816,-104.8213634,416427
Omaha,41.2586096,-95.937792,408958
Raleigh,35.772096,-78.6386145,403892
Miami,25.7742658,-80.1936589,399457
Cleveland,41.4994954,-81.6954088,396815
Tulsa,36.157929,-96.01655809,391906
Oakland,37.8043722,-122.2708026,390724
Minneapolis,44.9799654,-93.2638361,382578
Wichita,37.6922361,-97.3375448,382368
San Juan,18.4663338,-66.1057217,381931
Arlington,32.735687,-97.1080656,365438
Bakersfield,35.3732921,-119.0187125,347483
New Orleans,29.9546482,-90.075072,343829
Anaheim,33.8352932,-117.9145036,336265
Tampa,27.9475216,-82.4584279,335709
Aurora,39.7294319,-104.8319195,325078
Santa Ana,33.7455731,-117.8678338,324528
Saint Louis,38.6272733,-90.1978889,319294
Pittsburgh,40.4406248,-79.9958864,305704
Corpus Christi,27.8005828,-97.396381,305215
Riverside,33.9533487,-117.3961564,303871
Cincinnati,39.1146631,-84.52968641,296943
Lexington,38.0497996,-84.4585485,295803
Anchorage,61.2180556,-149.9002778,291826
Stockton,37.9577016,-121.2907796,291707
Toledo,41.6639383,-83.555212,287208
Saint Paul,44.9444101,-93.0932742,285068
Newark,40.735657,-74.1723667,277140
Greensboro,36.0726355,-79.7919754,269666
Buffalo,42.8864468,-78.8783689,261310
Plano,33.0198431,-96.6988856,259841
Lincoln,40.8000011,-96.6669599,258379
Henderson,36.0396988,-114.9819368,257729
Fort Wayne,41.1306041,-85.1288597,253691
Jersey City,40.7281575,-74.0776417,247597
Saint Petersburg,27.7708606,-82.6792661,244769
Chula Vista,32.6400541,-117.0841955,243916
Norfolk,36.8468146,-76.2852183,242803
Orlando,28.5383355,-81.3792365,238300
Chandler,33.3061605,-111.8412502,236123
Laredo,27.506407,-99.5075421,236091
Madison,43.0730517,-89.4012302,233209
Winston-Salem,36.0998596,-80.244216,229617
Lubbock,33.5778631,-101.8551665,229573
Baton Rouge,30.4507462,-91.154551,229493
Durham,35.9940329,-78.898619,228330
Garland,32.912624,-96.6388833,226876
Glendale,33.5386523,-112.1859866,226721
Reno,39.5296329,-119.8138027,225221
Hialeah,25.8575963,-80.2781057,224669
Chesapeake,36.8190369,-76.2749399,222209
Scottsdale,33.5092103,-111.8990327,217385
North Las Vegas,36.1988592,-115.1175013,216961
Irving,32.8140177,-96.9488945,216290
Fremont,37.5482697,-121.9885719,214089
Irvine,33.6694649,-117.8231107,212375
Birmingham,33.5206608,-86.80249,212237
Rochester,43.1547845,-77.6155568,210565
San Bernardino,34.1083449,-117.2897652,209924
